Site,soil_treatment,depth,matricd,gravel_content,evco,trco_grass,trco_shrub,trco_tree,trco_forb,%sand,%clay,imperm,soiltemp
23,specific,10,1.43,0,0.5,0.306575568,0.211234509,0.1,0.306575568,0.617,0.168,0,0.186
23,specific,20,1.41,0,0.35,0.213538459,0.168060003,0.25,0.213538459,0.574,0.181,0,0.372
23,specific,30,1.39,0,0.15,0.148735509,0.133709996,0.3,0.148735509,0.571,0.167,0,0.744
23,specific,40,1.39,0,0,0.103598443,0.106380832,0.2,0.103598443,0.571,0.164,0,1.116
23,specific,60,1.38,0,0,0.122420124,0.151975847,0.1,0.122420124,0.571,0.164,0,1.488
23,specific,80,1.15,0,0,0.059392272,0.096199668,0.05,0.059392272,0.583,0.167,0,2.232
23,specific,100,1.31,0,0,0.028814231,0.060893731,0,0.028814231,0.7,0.066,0,2.975
23,specific,150,1.31,0,0,0.016925393,0.071545414,0,0.016925393,0.7,0.064,0,2.975
24,specific,10,1.43,0,0.5,0.306575568,0.211234509,0.1,0.306575568,0.416,0.215,0,0.186
24,specific,20,1.41,0,0.35,0.213538459,0.168060003,0.25,0.213538459,0.395,0.265,0,0.372
24,specific,30,1.39,0,0.15,0.148735509,0.133709996,0.3,0.148735509,0.395,0.263,0,0.744
24,specific,40,1.39,0,0,0.103598443,0.106380832,0.2,0.103598443,0.395,0.262,0,1.116
24,specific,60,1.38,0,0,0.122420124,0.151975847,0.1,0.122420124,0.431,0.249,0,1.488
24,specific,80,1.15,0,0,0.059392272,0.096199668,0.05,0.059392272,0.422,0.252,0,2.232
24,specific,100,1.31,0,0,0.028814231,0.060893731,0,0.028814231,0.385,0.259,0,2.975
24,specific,150,1.31,0,0,0.016925393,0.071545414,0,0.016925393,0.35,0.28,0,2.975
25,specific,10,1.43,0,0.5,0.306575568,0.211234509,0.1,0.306575568,0.518,0.178,0,0.186
25,specific,20,1.41,0,0.35,0.213538459,0.168060003,0.25,0.213538459,0.4,0.232,0,0.372
25,specific,30,1.39,0,0.15,0.148735509,0.133709996,0.3,0.148735509,0.4,0.229,0,0.744
25,specific,40,1.39,0,0,0.103598443,0.106380832,0.2,0.103598443,0.4,0.226,0,1.116
25,specific,60,1.38,0,0,0.122420124,0.151975847,0.1,0.122420124,0.396,0.231,0,1.488
25,specific,80,1.15,0,0,0.059392272,0.096199668,0.05,0.059392272,0.388,0.256,0,2.232
25,specific,100,1.31,0,0,0.028814231,0.060893731,0,0.028814231,0.388,0.266,0,2.975
25,specific,150,1.31,0,0,0.016925393,0.071545414,0,0.016925393,0.378,0.314,0,2.975
26,specific,10,1.43,0,0.5,0.306575568,0.211234509,0.1,0.306575568,0.668,0.147,0,0.186
26,specific,20,1.41,0,0.35,0.213538459,0.168060003,0.25,0.213538459,0.585,0.265,0,0.372
26,specific,30,1.39,0,0.15,0.148735509,0.133709996,0.3,0.148735509,0.522,0.27,0,0.744
26,specific,40,1.39,0,0,0.103598443,0.106380832,0.2,0.103598443,0.438,0.266,0,1.116
26,specific,60,1.38,0,0,0.122420124,0.151975847,0.1,0.122420124,0.423,0.219,0,1.488
26,specific,80,1.15,0,0,0.059392272,0.096199668,0.05,0.059392272,0.505,0.181,0,2.232
